,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
168,3.0,0.0,0.0,0.0,0.0,0.0,435.0,61.0,0.0,0.0,1.0,3.0,463.0,92.6,100.0,2.8
169,3.0,0.0,0.0,0.0,0.0,0.0,435.0,61.0,0.0,0.0,1.0,3.0,463.0,92.61666666666666,100.0,2.8
170,3.0,0.0,0.0,0.0,0.0,0.0,435.0,61.0,0.0,0.0,1.0,3.0,463.0,92.63333333333334,100.0,2.4
171,3.0,0.0,2.0,0.0,0.0,2.0,433.0,63.0,0.0,0.0,1.0,3.0,463.0,92.63333333333334,28.57142857142857,2.8
172,2.0,0.0,0.0,1.0,0.0,0.0,433.0,63.0,1.0,0.0,1.0,2.0,463.0,92.625,58.33333333333333,2.4
173,2.0,0.0,1.0,0.0,0.0,1.0,432.0,64.0,1.0,0.0,1.0,2.0,462.0,92.61666666666666,61.53846153846154,2.6
174,2.0,0.0,0.0,0.0,0.0,0.0,432.0,64.0,1.0,0.0,1.0,2.0,461.0,92.6,100.0,2.4
175,2.0,0.0,1.0,0.0,0.0,0.0,432.0,64.0,1.0,0.0,1.0,2.0,461.0,92.58333333333334,100.0,2.6
176,2.0,1.0,1.0,0.0,1.0,0.0,432.0,64.0,1.0,0.0,1.0,2.0,461.0,92.56666666666666,66.66666666666667,3.0
177,2.0,0.0,1.0,0.0,0.0,1.0,431.0,65.0,1.0,0.0,1.0,2.0,462.0,92.55833333333334,68.75,3.2
178,2.0,0.0,0.0,0.0,0.0,0.0,431.0,65.0,1.0,0.0,1.0,2.0,462.0,92.55,100.0,3.0
179,2.0,1.0,0.0,0.0,0.0,0.0,431.0,65.0,1.0,0.0,1.0,2.0,461.0,92.525,100.0,3.2
180,2.0,0.0,0.0,0.0,0.0,0.0,431.0,65.0,1.0,0.0,1.0,2.0,462.0,92.51666666666665,100.0,3.2
181,2.0,0.0,0.0,0.0,0.0,0.0,431.0,65.0,1.0,0.0,1.0,2.0,462.0,92.50833333333334,100.0,3.0
182,2.0,0.0,1.0,0.0,0.0,1.0,430.0,66.0,1.0,0.0,1.0,2.0,461.0,92.49166666666666,66.66666666666667,3.0
183,2.0,0.0,1.0,0.0,0.0,1.0,429.0,67.0,1.0,0.0,1.0,2.0,461.0,92.475,68.75,3.2
184,2.0,0.0,0.0,0.0,0.0,0.0,429.0,67.0,1.0,0.0,1.0,2.0,461.0,92.45833333333334,100.0,3.2
185,2.0,0.0,0.0,0.0,0.0,0.0,429.0,67.0,1.0,0.0,1.0,2.0,461.0,92.44166666666666,100.0,3.0
186,2.0,1.0,2.0,0.0,1.0,1.0,428.0,68.0,1.0,0.0,0.0,3.0,461.0,92.425,44.44444444444444,3.6
187,2.0,0.0,0.0,0.0,0.0,0.0,428.0,68.0,1.0,0.0,0.0,3.0,462.0,92.41666666666666,100.0,3.6
188,2.0,0.0,1.0,0.0,0.0,1.0,427.0,69.0,1.0,0.0,0.0,3.0,462.0,92.40833333333335,72.22222222222221,3.6
189,2.0,0.0,0.0,0.0,0.0,0.0,427.0,69.0,1.0,0.0,0.0,3.0,461.0,92.38333333333334,100.0,3.4
190,2.0,0.0,0.0,0.0,0.0,0.0,427.0,69.0,1.0,0.0,0.0,3.0,461.0,92.35833333333335,100.0,3.4
191,2.0,0.0,0.0,0.0,0.0,0.0,427.0,69.0,1.0,0.0,0.0,3.0,461.0,92.34166666666665,100.0,3.4
192,2.0,0.0,0.0,0.0,0.0,0.0,427.0,69.0,1.0,0.0,0.0,3.0,461.0,92.325,100.0,3.4
193,2.0,0.0,0.0,0.0,0.0,0.0,427.0,69.0,1.0,0.0,0.0,3.0,461.0,92.30833333333334,100.0,3.4
194,2.0,1.0,0.0,0.0,1.0,0.0,427.0,69.0,0.0,0.0,0.0,4.0,461.0,92.29166666666666,72.22222222222221,3.6
195,2.0,0.0,2.0,0.0,0.0,2.0,425.0,71.0,0.0,0.0,0.0,4.0,463.0,92.29166666666666,44.44444444444444,3.6
196,1.0,0.0,1.0,1.0,0.0,0.0,425.0,71.0,1.0,0.0,0.0,3.0,462.0,92.28333333333335,73.6842105263158,3.8
197,1.0,0.0,0.0,0.0,0.0,0.0,425.0,71.0,1.0,0.0,0.0,3.0,461.0,92.275,100.0,3.6
198,1.0,0.0,0.0,0.0,0.0,0.0,425.0,71.0,1.0,0.0,0.0,3.0,460.0,92.26666666666665,100.0,3.6
199,0.0,0.0,0.0,1.0,0.0,0.0,425.0,71.0,2.0,0.0,0.0,2.0,460.0,92.25833333333334,70.58823529411764,3.4
200,0.0,0.0,2.0,0.0,0.0,2.0,423.0,73.0,2.0,0.0,0.0,2.0,460.0,92.25,41.17647058823529,3.4
201,0.0,0.0,0.0,0.0,0.0,0.0,423.0,73.0,2.0,0.0,0.0,2.0,459.0,92.225,100.0,3.2
